job_title,required_skills
android developer,"java, roid sdk, roid, javascript , java, roid sdk, roid, javascript"
information assurance engineer,"experience in coordination , cprs within vista, proactive, independent"
data architect,"adobe ame, cq"
service desk associate,".net, agile, analysis, asp, asp.net, development, genetic, hadoop, java, management, risk management, security, vb"
network engineer,"exchange, office 365"
software engineer,"php, mysql, oop , php, mysql, oop"
director data management,"analysis, change management, development, excel, html, http, jd edwards, lifecycle, management, materials, ms office, oracle, peoplesoft, powerpoint, sap, salesforce, siebel"
information assurance engineer,"javascript, react, html5, css3 , javascript, react, html5, css3"
technical manager,"agile, scrum, sql, ficial services industry , agile, scrum, sql, ficial services industry"
java developer,"java, javascript, aws, amazon web services, angular.js, scala"
software intern,"development, forth, genetic, help desk, intern, management, powerpoint"
information assurance engineer,"sql, t, sql, pl, sql, postgresql, etl, mongodb, redis, scrum, cloud, aws , sql, t, sql, pl, sql, postgresql, etl, mongodb, redis, scrum, cloud, aws"
systems engineer,"deltav, automation systems, control systems, automation systems, control systems, emerson products"
threat analyst,"support, portal"
business intelligence analyst,"network administration, windows, windows, sql"
security engineer,"ficial services, risk assessment, it audits, disaster recovery, business continuity"
systems engineer,"vmware, emc, microsoft active directory, dhcp, dns, adfs, azure cloud services"
director data,"agile, development, foundation, knowledge management, management"
delivery architect,"qlikview, business intelligence, data analysis, insurance domain, qlikview, business intelligence, data analysis, insurance domain"
data manager,"product management, business analysis, business strategy, sdlc, agile"
hadoop developer,"adobe captivate, healthcare"
technical consultant,"development, excel, http, lifecycle, management, oracle, powerpoint, sap, sap hr"
software engineer,"healthcare informatics, ontologies, pre, post sales support, solid underst, healthcare informatics, ontologies, pre, post sales support, solid underst"
business analyst,"voip, wireless"
java developer,"java jenkins, bamboo junit"
technical service representative,"crm, development, excel, html, http, lifecycle, sap, supply chain"
net developer,".net, c#. asp.net, linq, html, css, javascript, ajax , jquery, sql"
crm consultant,"development, excel, http, lifecycle, management, oracle, powerpoint, sap"
systems engineer,"powershell, virtualization, microsoft exchange, azure, cloud, office 0365, virtualization, microsoft exchange, azure, cloud, office 0365"
java developer,atory
software engineer,"analysis, architecture, business intelligence, data analysis, database, development, genetic, management, oracle, sas, sql, sql server, teradata, unix"
chief analytics officer,"adobe analytics, ensighten"
software engineer,"ios, objective, c, rest apis"
java developer,"java, j2ee, jee, jsp, servlets, spring mvc, html, css, angular js, jquery, json , hibernate, camel , jsf, struts 2 , sql, pl, sql"
information assurance engineer,"aws cloud architecture, design"
platform engineer,"java, configuration management, aws , java, configuration management, aws"
big data engineer,"php, java, aws, relational databases, emr , map reduce, java, aws, relational databases, emr , map reduce"
network security engineer,"django, javascript frameworks, python , django, javascript frameworks, python"
technical jobs,"crm, development, excel, html, http, lifecycle, management, research, sap, supply chain"
systems engineer,cisco
it project manager,"mysql, chef, puppet"
emr specialist,"pm, crm"
information management specialist,"analysis, excel, html, http, kronos, lifecycle, management, specification"
microstrategy architect,"architect , h.264, h.265 transport rtp, rtsp, software performance analyses, gpio, integrator, h.264, h.265 transport rtp, rtsp, software performance analyses, gpio"
net developer,"business intelligence, dba, database administration, ms stack, ssis, ssrs, ssas"
software engineer,"c#, sql, javascript, agile, sql, javascript, agile"
data architect,"javascript, ember.js, angular.js , javascript, ember.js, angular.js"
sql developer,"informatica, power centre"
business systems analyst,"analysis, business objects, crystal reports, metrics"
network security engineer,"saas, java, scrum, sql, no sql, j2ee"
clinical application manager,"crm, development, excel, html, http, lifecycle, management, project management, sap, supply chain"
security incident response engineer,"javascript frameworks, mobile, web, mobile, web, rest apis"
hadoop developer,"java, sql, linux, sql server, scala, repl, ammonite, nosql, gremlin, sparql , java, sql, linux, sql server, scala, repl, ammonite, nosql, gremlin, sparql"
information assurance engineer,"macintoshmac, os x"
vp software,"ibm i, c++, c++, api"
ruby on rails developer,"jquery, ruby on rails, elixir , jquery, ruby on rails, elixir"
imaging specialist,"sabre, customer support"
software engineer,"c#, asp.net mvc, javascript, ms, sql, episerver or mediachase, e, commerce development, web services, cms , c#, asp.net mvc, javascript, ms, sql, episerver or mediachase, e, commerce development, web services, cms"
oracle dba,"abap, analysis, blueprint, case, change management, development, erp, http, knowledge management, management, oracle, pl1, risk management, sales"
data coordinator,"forth, management, project management"
business intelligence developer,"elixir, ruby on rails, javascript , elixir, ruby on rails, javascript"
business intelligence analyst,"experience with sql , cognos, hyperion, microstrategy, business objects, ms report manager , report builder."
oracle dba,"peoplesoft 9.2, supplier contracts management, psft 9.2"
web developer,"react.js, reactjs, backbone.js, backbonejs, meteor.js, meteorjs, node.js, nodejs, emberjs, ember.js, angularjs, angular.js, front end, ux, user experience"
javascript developer,"java version 7, 8, java scripts , jquery"
mysql dba,mysql dba
information assurance engineer,"react, redux, node.js, apis, mysql, graphql , react, redux, node.js, apis, mysql, graphql"
ux designer,"ux design, javascript, html, css, node.js, angularjs, javascript, html, css, node.js, angularjs, product design"
clinical application manager,"crm, development, excel, html, http, lifecycle, management, research, sap, supply chain"
business analyst,"oracle erp, salescloud, salesforce crm, excel, visio, word, ms project, erp implementation, crm implementation, sales, business process, tools implementation"
information assurance engineer,"buildroot, git, c, perl, python, arm, x86 , buildroot, git, c, perl, python, arm, x86"
storage consultant,"case, development, excel, html, http, management, metrics"
java developer,java
software engineer,"javascript, python, ruby on rails, aws , javascript, python, ruby on rails, aws"
big data engineer,"architecture, business requirements, cisco, development, dns, hadoop, hardware, html, http, ibm, iis, java, jd edwards, linux, management, metrics, middleware, oracle, peoplesoft, powerpoint, project management, sap, security, siebel, telecommunications, vmware, vpn, windows"
business analyst,"business analytics, performance metrics, project management, autonomy, nexidia"
director information,"business analyst, group benefits, access, data extraction, database integration, csv files, data flows"
systems administrator,"windows, powershell, jira , windows, powershell, jira"
ios developer,"html5, css3, ajax, jquery, javascript, angular, react"
crm consultant,aws redshift
software engineer,"asp.net, c++, c#, netsuite, sql, microsoft visual studio, linux , asp.net, c++, c#, netsuite, sql, microsoft visual studio, linux"
information management specialist,"informatica, eim, data warehouse experience"
business analyst,business analysts
crm consultant,"node js, core .net"
technical support specialist,"support, sql server, erp"
hadoop developer,sap
business analyst,salesforce.com business analysis
business analyst,"inside sales, business development, sales, it, information technology, sales lead generation"
network engineer,"cisco voip, cucm, unity, ccnp"
net developer,"wpf, .net , ci, cd"
big data engineer,"matlab, sas"
tech support jobs,"21cfr part 11, hipaa., python"
storage consultant,"development, excel, html, http"
network security engineer,"java, hibernate"
software engineer,"sql, python, r, java , power bi, tableau, aws , database design, etls sql , nosql"
network engineer,"network, lan, wan , man, voip"
data architect,"data migration, business intelligence"
android developer,"roid, java"
business systems analyst,"dynamics ax, .net"
data architect,salesforce architect
ruby on rails developer,"ruby on rails, html. css. javascript"
systems architect,"analysis, architecture, development, graphics, ibm, knowledge management, management, materials, security"
business intelligence developer,"javascript, xslt"
computer technician,"alcatel, broadb, change management, circuit, circuits, cisco, customer service, ethernet, genetic, hardware, http, lucent, management, networks, nortel, sap, security, sonet, switches, technician, video, windows"
net developer,"solid principals, design patterns, wcf, asp.net, c# or vb.net"
crm consultant,gmc
